Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
KB_61712M-Black,Scrabble,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#61712M-Black</li><li>Made in Korea.",K.Bell,All,"Fun Socks,Dress Socks,K.Bell,Blocks,Print,Crew,Black,Cotton,Men,New",Default Title,Default Title,,,,,KB_61712M-Black,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/61712M-Black.jpg
KB_1942M-Bkblue,Blue Ravioli,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#1942M-Bkblue</li><li>Made in Korea.",K.Bell,All,"Fashion Socks,Dress Socks,K.Bell,Blocks,Print,Crew,Black,Blue,Cotton,Men,New",Default Title,Default Title,,,,,KB_1942M-Bkblue,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/1942M-Bkblue.jpg
KB_62523M-Red,Robotic,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#62523M-Red</li><li>Made in Korea.",K.Bell,All,"Fun Socks,K.Bell,Print,Crew,Red,Cotton,Men,New",Default Title,Default Title,,,,,KB_62523M-Red,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/62523M-Red.jpg
KB_61632M-Black,Multi-Color Bikes,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#61632M-Black</li><li>Made in Korea.",K.Bell,All,"Fun Socks,Dress Socks,K.Bell,Print,Crew,Black,Cotton,Men,New",Default Title,Default Title,,,,,KB_61632M-Black,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/61632M-Black.jpg
KB_1962M-Black,Green Monster,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#1962M-Black</li><li>Made in Korea.",K.Bell,All,"Fun Socks,Dress Socks,K.Bell,Print,Crew,Black,Green,Cotton,Men,New",Default Title,Default Title,,,,,KB_1962M-Black,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/1962M-Black.jpg
KB_61634M-Black,Rubik's Cube,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#61634M-Black</li><li>Made in Korea.",K.Bell,All,"Fun Socks,Dress Socks,K.Bell,Blocks,Print,Crew,Black,Cotton,Men,New",Default Title,Default Title,,,,,KB_61634M-Black,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/61634M-Black.jpg
KB_65772M-Navy,Plaid Navy,"<ul><li>60% Cotton, 38% Polyester, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#65772M-Navy</li><li>Made in Korea.",K.Bell,All,"Casual Socks,Dress Socks,K.Bell,Blocks,Print,Crew,Blue,Cotton,Men,New",Default Title,Default Title,,,,,KB_65772M-Navy,2,Shopify,6,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/65772M-Navy.jpg
SITM_MEF0073,T-Rex!,"<ul><li>75% Cotton, 20% Polyester, 5% Spandex</li><li>Fits men's shoe size 8-13.</li><li>Style#MEF0073</li><li>Made in Korea.",Sock it to Me,All,"Sock it to Me,Print,Crew,Blue,Cotton,Men,New",Default Title,Default Title,,,,,SITM_MEF0073,2,Shopify,36,deny,manual,10,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/MEF0073.jpg
SITM_MEF0068,Sasquatch,"<ul><li>75% Cotton, 20% Polyester, 5% Spandex</li><li>Fits men's shoe size 8-13.</li><li>Style#MEF0068</li><li>Made in Korea.",Sock it to Me,All,"Casual Socks,Fun Socks,Sock it to Me,Print,Crew,Brown,Cotton,Men,New",Default Title,Default Title,,,,,SITM_MEF0068,2,Shopify,36,deny,manual,10,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/MEF0068.jpg
SITM_MEF0067,Bad Ass,"<ul><li>75% Cotton, 20% Polyester, 5% Spandex</li><li>Fits men's shoe size 8-13.</li><li>Style#MEF0067</li><li>Made in Korea.",Sock it to Me,All,"Fun Socks,Sock it to Me,Print,Crew,Black,Cotton,Men,New",Default Title,Default Title,,,,,SITM_MEF0067,2,Shopify,36,deny,manual,10,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/MEF0067.jpg
Oz_824-07,Fair Isle - Red,"<ul><li>85% Cotton, 14% Nylon, 1% Spandex</li><li>Fits men's shoe size 8-13.</li><li>Style#824-07</li><li>Made in Colombia.",Ozone,All,"Fashion Socks,Casual Socks,Ozone,Print,Crew,Red,Gray,Cotton,Men,New",Default Title,Default Title,,,,,Oz_824-07,2,Shopify,6,deny,manual,15,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/824-07.jpg
Oz_824-14,Fair Isle - Navy,"<ul><li>85% Cotton, 14% Nylon, 1% Spandex</li><li>Fits men's shoe size 8-13.</li><li>Style#824-14</li><li>Made in Colombia.",Ozone,All,"Fashion Socks,Casual Socks,Ozone,Print,Crew,Blue,Cotton,Men,New",Default Title,Default Title,,,,,Oz_824-14,2,Shopify,12,deny,manual,15,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/824-14.jpg
HX_HM100054-Black,Envigorated Stripes,"<ul><li>60% Cotton, 23% Nylon, 12% Polyester, 3% Rubber, 2% Spandex</li><li>Fits men's shoe size 7-13.</li><li>Style#HM100054-Black</li><li>Made in Korea.",Hot Sox,All,"Hot Sox,Stripes,Crew,Green,Cotton,Men,New",Default Title,Default Title,,,,,HX_HM100054-Black,2,Shopify,18,deny,manual,11,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/HM100054-Black.jpg
RP_STG02,Stargazer Yellow,"<ul><li>68% Combed Cotton, 16% Polyester, 13% Nylon, 3% Spandex</li><li>Fits men's shoe size 6-12.</li><li>Style#STG02</li><li>Made in Korea.",Richer Poorer,All,"Fashion Socks,Richer Poorer,Dots,Crew,Yellow,Cotton,Men,New",Default Title,Default Title,,,,,RP_STG02,2,Shopify,6,deny,manual,12,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/STG02.jpg
RP_VIS06,Visionary Yellow,"<ul><li>68% Combed Cotton, 16% Polyester, 13% Nylon, 3% Spandex</li><li>Fits men's shoe size 6-12.</li><li>Style#VIS06</li><li>Made in Korea.",Richer Poorer,All,"Fashion Socks,Richer Poorer,Print,Crew,Yellow,Cotton,Men,New",Default Title,Default Title,,,,,RP_VIS06,2,Shopify,6,deny,manual,12,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/VIS06.jpg
RP_RFN03,Ruffian Navy,"<ul><li>68% Combed Cotton, 16% Polyester, 13% Nylon, 3% Spandex</li><li>Fits men's shoe size 6-12.</li><li>Style#RFN03</li><li>Made in Korea.",Richer Poorer,All,"Casual Socks,Dress Socks,Richer Poorer,Print,Crew,Blue,Cotton,Men,New",Default Title,Default Title,,,,,RP_RFN03,2,Shopify,6,deny,manual,12,,TRUE,FALSE,https://dl.dropboxusercontent.com/u/65994410/uploads/12.3.13/RFN03.jpg
